sample_dir,prompt_label,prompt_tokens,layer,kind,rank,token_index,energy
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,2,30,0.28527018427848816
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,3,119,0.2810765504837036
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,4,33,0.27240028977394104
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,5,167,0.2720780074596405
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,6,503,0.2710024118423462
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,7,78,0.2704189717769623
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,8,1559,0.2694351375102997
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,9,72,0.2681012749671936
data/cache_samples/long_3095tok_20260427_233303,long,3095,3,value,10,7,0.2669013738632202
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,1,2303,3.070882797241211
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,2,1871,3.0648014545440674
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,3,2255,3.063441276550293
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,4,3071,3.0629491806030273
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,5,1775,3.061509847640991
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,6,2543,3.060349225997925
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,7,2975,3.059657335281372
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,8,2783,3.0595765113830566
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,9,2351,3.059143543243408
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,key,10,2687,3.0586512088775635
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,1,83,0.27503496408462524
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,2,3,0.27163705229759216
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,3,213,0.2702889144420624
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,4,2,0.2682860195636749
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,5,29,0.2681696116924286
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,6,309,0.267810583114624
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,7,131,0.2671860158443451
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,8,67,0.26566678285598755
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,9,407,0.26536306738853455
data/cache_samples/long_3095tok_20260427_233303,long,3095,4,value,10,8,0.2651323676109314
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,1,2980,3.2227704524993896
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,2,2740,3.2222957611083984
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,3,3076,3.218444585800171
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,4,2836,3.2181882858276367
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,5,2596,3.215646266937256
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,6,2068,3.215137004852295
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,7,2308,3.2116916179656982
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,8,2692,3.2101900577545166
