scenario,regime,prompt_tokens,case_id,position,repeat_index,ideal_policy,ideal_retention,ideal_score,ideal_status,executable_policy,executable_retention,executable_score,executable_status,lost_intelligence,ideal_memory_saved_percent,executable_memory_saved_percent,collapse_reason
needle,saturation,3072,needle-late,late,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-001,early,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,0.0,real,1.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-002,middle,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-003,late,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-004,early,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,0.0,real,1.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-005,middle,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-006,late,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-007,early,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,0.0,real,1.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-008,middle,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-009,late,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-010,early,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,0.0,real,1.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-011,middle,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-012,late,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,1.0,real,0.0,48.551,48.552,theoretical dynamic upper bound
document_qa,saturation,3072,docqa-013,early,1,ideal_r969_b8,0.968898,1.0,theoretical_only,dynamic_r514_b16,0.514485,0.0,real,1.0,48.551,48.552,theoretical dynamic upper bound
